10000	100
1	0	0
2	1	0
3	1.28148	0.00610749
4	1.63607	0.00585564
5	1.84626	0.00783403
6	2.08788	0.00816543
7	2.2562	0.00950776
8	2.46204	0.00977942
9	2.60893	0.0108244
10	2.78863	0.0112184
11	2.94063	0.0119855
12	3.07763	0.0124859
13	3.2092	0.0131933
14	3.34953	0.0136201
15	3.47363	0.0143049
16	3.60011	0.0146254
17	3.70507	0.0152535
18	3.81824	0.0156539
19	3.93139	0.0162234
20	4.03664	0.0166527
21	4.14298	0.0172682
22	4.24483	0.0175677
23	4.34491	0.0180765
24	4.44121	0.0185079
25	4.53826	0.0189985
26	4.62568	0.0193263
27	4.7134	0.0196848
28	4.80221	0.0200264
29	4.87713	0.0204343
30	4.97232	0.0206718
31	5.04406	0.0210595
32	5.13597	0.0212755
33	5.21975	0.0216661
34	5.3053	0.0219208
35	5.38472	0.022262
36	5.47087	0.0225863
37	5.54755	0.0229319
38	5.62715	0.0231996
39	5.70764	0.0235801
40	5.77835	0.0238916
41	5.85202	0.02417
42	5.92479	0.0245273
43	6.00244	0.0248091
44	6.08521	0.0251115
45	6.15663	0.0254115
46	6.21992	0.0257067
47	6.28756	0.0260174
48	6.35845	0.0264626
49	6.42457	0.026673
50	6.48766	0.0270001
51	6.54888	0.0271364
52	6.62092	0.0273668
53	6.67697	0.0276449
54	6.74928	0.0279567
55	6.81178	0.028124
56	6.87632	0.0284082
57	6.93044	0.0286766
58	6.9867	0.0288811
59	7.04641	0.0290811
60	7.10777	0.0293467
61	7.16694	0.0296827
62	7.22811	0.0299611
63	7.28586	0.0302547
64	7.34402	0.0304941
65	7.39478	0.0306468
66	7.44906	0.0308486
67	7.51326	0.0311043
68	7.57099	0.0314081
69	7.61836	0.031689
70	7.68517	0.0319815
71	7.74769	0.032188
72	7.80798	0.032445
73	7.87411	0.0326808
74	7.93508	0.0329819
75	7.99302	0.0331956
76	8.04412	0.0334179
77	8.09526	0.0336418
78	8.14402	0.0339448
79	8.19743	0.0342104
80	8.23989	0.0344038
81	8.29301	0.0347165
82	8.34669	0.0349682
83	8.39637	0.0352031
84	8.45205	0.0354277
85	8.49996	0.0357347
86	8.54346	0.0358699
87	8.58722	0.0362089
88	8.63863	0.0365242
89	8.68716	0.0367318
90	8.73444	0.0367806
91	8.78928	0.0369808
92	8.83619	0.0371461
93	8.88632	0.0373228
94	8.9358	0.037492
95	8.98001	0.0377486
96	9.02143	0.0379498
97	9.07839	0.0382301
98	9.12205	0.0384775
99	9.1622	0.0386607
100	9.21771	0.0387827
